icd_code,icd_chapter
37035,(G00-G99)
37201,(G00-G99)
37263,(G00-G99)
37411,(G00-G99)
37552,(G00-G99)
37600,(G00-G99)
37900,(G00-G99)
37911,(G00-G99)
37993,(G00-G99)
38421,(G00-G99)
38901,(G00-G99)
41070,(I00-I99)
41405,(I00-I99)
4239,(I00-I99)
42682,(I00-I99)
42731,(I00-I99)
43311,(I00-I99)
43819,(I00-I99)
43832,(I00-I99)
4409,(I00-I99)
45383,(I00-I99)
45829,(I00-I99)
47879,(J00-J99)
48249,(J00-J99)
501,(J00-J99)
5187,(J00-J99)
52300,(K00-K95)
52871,(K00-K95)
53400,(K00-K95)
53530,(K00-K95)
55002,(K00-K95)
5691,(K00-K95)
57481,(K00-K95)
5855,(N00-N99)
59382,(N00-N99)
59682,(N00-N99)
6011,(N00-N99)
6031,(N00-N99)
60882,(N00-N99)
6144,(N00-N99)
6171,(N00-N99)
61883,(N00-N99)
6224,(N00-N99)
6245,(N00-N99)
63481,(O00-O9A)
63521,(O00-O9A)
63610,(O00-O9A)
63641,(O00-O9A)
6391,(O00-O9A)
64313,(O00-O9A)
64520,(O00-O9A)
64630,(O00-O9A)
64661,(O00-O9A)
64810,(O00-O9A)
64824,(O00-O9A)
64833,(O00-O9A)
64934,(O00-O9A)
65293,(O00-O9A)
65400,(O00-O9A)
65451,(O00-O9A)
65543,(O00-O9A)
65613,(O00-O9A)
65911,(O00-O9A)
66001,(O00-O9A)
66201,(O00-O9A)
66511,(O00-O9A)
66814,(O00-O9A)
66981,(O00-O9A)
67114,(O00-O9A)
67204,(O00-O9A)
67334,(O00-O9A)
67611,(O00-O9A)
67903,(O00-O9A)
6953,(L00-L99)
6983,(L00-L99)
70442,(L00-L99)
7062,(L00-L99)
70724,(L00-L99)
7088,(L00-L99)
71167,(M00-M99)
7175,(M00-M99)
71828,(M00-M99)
71843,(M00-M99)
71846,(M00-M99)
71881,(M00-M99)
71949,(M00-M99)
71987,(M00-M99)
72290,(M00-M99)
7248,(M00-M99)
7264,(M00-M99)
72765,(M00-M99)
7299,(M00-M99)
73073,(M00-M99)
73320,(M00-M99)
73732,(M00-M99)
73741,(M00-M99)
74401,(Q00-Q99)
74481,(Q00-Q99)
7465,(Q00-Q99)
7518,(Q00-Q99)
75566,(Q00-Q99)
75656,(Q00-Q99)
7606,(P00-P96)
76389,(P00-P96)
76410,(P00-P96)
7811,(R00-R99)
78460,(R00-R99)
78602,(R00-R99)
78651,(R00-R99)
7892,(R00-R99)
79552,(R00-R99)
79921,(R00-R99)
79922,(R00-R99)
80185,(S00-T88)
80234,(S00-T88)
80364,(S00-T88)
80412,(S00-T88)
80474,(S00-T88)
80710,(S00-T88)
80859,(S00-T88)
81500,(S00-T88)
83816,(S00-T88)
83900,(S00-T88)
84201,(S00-T88)
8448,(S00-T88)
85124,(S00-T88)
85145,(S00-T88)
85226,(S00-T88)
85305,(S00-T88)
86381,(S00-T88)
8679,(S00-T88)
86800,(S00-T88)
8794,(S00-T88)
88022,(S00-T88)
8842,(S00-T88)
90253,(S00-T88)
9064,(S00-T88)
9089,(S00-T88)
9094,(S00-T88)
9100,(S00-T88)
9134,(S00-T88)
9161,(S00-T88)
9177,(S00-T88)
92231,(S00-T88)
9392,(S00-T88)
9404,(S00-T88)
94101,(S00-T88)
94103,(S00-T88)
94116,(S00-T88)
94121,(S00-T88)
94143,(S00-T88)
94203,(S00-T88)
94209,(S00-T88)
94229,(S00-T88)
94243,(S00-T88)
94326,(S00-T88)
94418,(S00-T88)
94430,(S00-T88)
9578,(S00-T88)
9588,(S00-T88)
96509,(S00-T88)
9674,(S00-T88)
9681,(S00-T88)
9693,(S00-T88)
9747,(S00-T88)
9781,(S00-T88)
9828,(S00-T88)
